mode,p,mean_wall,std_wall,n_runs,speedup,efficiency
mpi,1,233.6274,6.6631197122669175,5,0.9847552127875412,0.9847552127875412
mpi,2,106.14179999999999,2.0765730663764264,5,2.167532489556424,1.083766244778212
mpi,4,59.54924000000001,3.743435398534346,5,3.8634548484581828,0.9658637121145457
mpi,8,35.66096,0.6764948765511788,5,6.451475226690476,0.8064344033363094
mpi,16,83.90402,8.183236312547743,5,2.742011646164272,0.171375727885267
omp,1,236.83919999999998,2.3648321716350225,5,0.97140084918375,0.97140084918375
omp,2,117.475,0.8853067265078224,5,1.9584234943605023,0.9792117471802512
omp,4,63.15986,2.91280819021782,5,3.642595154580773,0.9106487886451933
omp,8,37.01404,1.866364817767415,5,6.215636012713014,0.7769545015891267
omp,16,98.8806,12.538041309750101,5,2.326703114665566,0.14541894466659788
serial,1,230.0658,4.371706954954793,5,1.0,1.0
