mode,p,mean_wall_seconds,std_wall_seconds,min_wall_seconds,max_wall_seconds,runs,t1,speedup,efficiency
mpi,1,233.6274,6.6631197122669175,227.687,244.105,5,233.6274,1.0,1.0
mpi,2,106.14179999999999,2.0765730663764264,103.2,108.535,5,233.6274,2.2010876016800167,1.1005438008400084
mpi,4,59.54924000000001,3.743435398534346,56.0037,65.393,5,233.6274,3.9232641759995586,0.9808160439998896
mpi,8,35.66096,0.6764948765511788,34.4669,36.0669,5,233.6274,6.551349150443509,0.8189186438054387
mpi,16,83.90402,8.183236312547743,73.7467,95.7431,5,233.6274,2.784460148631734,0.1740287592894834
omp,1,236.83919999999998,2.3648321716350225,234.255,240.578,5,236.83919999999998,1.0,1.0
omp,2,117.475,0.8853067265078224,116.522,118.568,5,236.83919999999998,2.01608171951479,1.008040859757395
omp,4,63.15986,2.91280819021782,59.8916,67.5659,5,236.83919999999998,3.7498373175621347,0.9374593293905337
omp,8,37.01404,1.866364817767415,33.7261,38.3343,5,236.83919999999998,6.398631438232626,0.7998289297790783
omp,16,98.8806,12.538041309750101,88.0017,119.732,5,236.83919999999998,2.3952039125976174,0.1497002445373511
serial,1,230.0658,4.371706954954793,226.96,237.738,5,230.0658,1.0,1.0
